Player,Season,Points,Field Goal %,Three Pointer %,Free Throw %,ORB,Turnovers
Anthony Davis,2020,25,.381,.000,.643,3,3
Anthony Davis,2020,21,.412,.000,1.000,0,3
Anthony Davis,2020,29,.526,.600,1.000,2,5
Anthony Davis,2020,40,.412,.000,.963,8,0
Anthony Davis,2020,31,.536,.000,.500,2,1
Anthony Davis,2020,25,.500,.500,1.000,2,6
Anthony Davis,2020,15,.400,.500,1.000,3,3
Anthony Davis,2020,26,.647,,1.000,2,2
Anthony Davis,2020,27,.500,.400,.833,3,5
Anthony Davis,2020,24,.529,.500,.833,3,1
Anthony Davis,2020,,,,,,
Anthony Davis,2020,17,.417,.000,.778,0,4
Anthony Davis,2020,14,.357,.000,.800,0,4
Anthony Davis,2020,34,.542,.600,.833,3,2
Anthony Davis,2020,33,.474,.571,1.000,1,1
Anthony Davis,2020,22,.500,.500,.833,2,3
Anthony Davis,2020,19,.368,.167,1.000,6,0
Anthony Davis,2020,41,.500,.250,.833,3,2
Anthony Davis,2020,26,.533,.500,.750,4,0
Anthony Davis,2020,27,.476,.500,1.000,2,2
Anthony Davis,2020,,,,,,
Anthony Davis,2020,25,.500,.333,.667,3,1
Anthony Davis,2020,26,.818,,.889,1,0
Anthony Davis,2020,39,.571,.333,.867,0,3
Anthony Davis,2020,50,.690,.000,1.000,3,1
Anthony Davis,2020,16,.300,.250,.750,4,2
Anthony Davis,2020,33,.550,.444,.778,1,1
Anthony Davis,2020,27,.478,.000,.714,2,5
Anthony Davis,2020,,,,,,
Anthony Davis,2020,36,.440,.000,.824,3,1
Anthony Davis,2020,32,.565,.250,.833,5,5
Anthony Davis,2020,24,.471,.167,.875,1,3
Anthony Davis,2020,20,.438,.250,.833,1,2
Anthony Davis,2020,23,.667,.000,.778,1,4
Anthony Davis,2020,26,.563,.333,.875,1,3
Anthony Davis,2020,46,.714,.600,1.000,2,3
Anthony Davis,2020,24,.438,.250,.900,1,0
Anthony Davis,2020,5,.250,.000,.500,0,3
Anthony Davis,2020,,,,,,
Anthony Davis,2020,,,,,,
Anthony Davis,2020,,,,,,
Anthony Davis,2020,,,,,,
Anthony Davis,2020,,,,,,
Anthony Davis,2020,,,,,,
Anthony Davis,2020,9,.429,,1.000,1,2
Anthony Davis,2020,28,.500,.500,1.000,1,1
Anthony Davis,2020,16,.444,.333,.875,1,2
Anthony Davis,2020,31,.591,.400,.750,0,5
Anthony Davis,2020,37,.636,.600,.750,4,4
Anthony Davis,2020,21,.556,.500,1.000,1,2
Anthony Davis,2020,18,.667,.000,.667,2,4
Anthony Davis,2020,32,.667,,.800,1,0
Anthony Davis,2020,27,.643,,.692,2,2
Anthony Davis,2020,25,.529,.000,.875,3,3
Anthony Davis,2020,33,.522,.500,.667,1,2
Anthony Davis,2020,28,.471,.500,.667,5,4
Anthony Davis,2020,32,.400,.600,.750,6,6
Anthony Davis,2020,21,.286,.000,.900,6,2
Anthony Davis,2020,23,.462,.333,.833,1,3
Anthony Davis,2020,15,.583,.333,.000,2,1
Anthony Davis,2020,,,,,,
Anthony Davis,2020,37,.684,.800,.875,3,2
Anthony Davis,2020,,,,,,
Anthony Davis,2020,30,.417,.000,.909,4,4
Anthony Davis,2020,30,.579,.250,.875,0,1
Anthony Davis,2020,26,.474,.500,.800,2,1
Anthony Davis,2020,34,.421,.400,.941,2,4
Anthony Davis,2020,14,.286,.333,1.000,1,0
Anthony Davis,2020,42,.464,.500,.800,1,1
Anthony Davis,2020,9,.273,.000,.750,2,1
Anthony Davis,2020,17,.625,,.778,5,7
Anthony Davis,2020,8,.214,.000,1.000,3,4
Anthony Davis,2020,27,.600,.000,.750,4,2
Anthony Davis,2020,,,,,,
Antoine Walker,2003,14,.217,.100,.750,1,2
Antoine Walker,2003,12,.313,.167,1.000,2,7
Antoine Walker,2003,18,.400,.600,.750,0,4
Antoine Walker,2003,22,.368,.300,.714,0,2
Antoine Walker,2003,13,.353,.125,,1,6
Antoine Walker,2003,31,.458,.692,,3,2
Antoine Walker,2003,27,.455,.375,.800,0,1
Antoine Walker,2003,20,.412,.143,.833,0,3
Antoine Walker,2003,22,.500,.000,,1,2
Antoine Walker,2003,28,.579,.333,.571,3,2
Antoine Walker,2003,16,.263,.286,.667,1,4
Antoine Walker,2003,27,.300,.364,.833,0,4
Antoine Walker,2003,22,.409,.250,.400,1,4
Antoine Walker,2003,13,.211,.143,.667,3,3
Antoine Walker,2003,31,.393,.714,.571,1,2
Antoine Walker,2003,28,.423,.500,.333,2,2
Antoine Walker,2003,19,.444,.333,.200,1,1
Antoine Walker,2003,19,.292,.125,.667,0,6
Antoine Walker,2003,25,.444,.286,.700,2,3
Antoine Walker,2003,28,.500,.375,.500,1,8
Antoine Walker,2003,,,,,,
Antoine Walker,2003,31,.481,.364,.500,0,5
Antoine Walker,2003,33,.571,.615,.200,1,7
Antoine Walker,2003,23,.429,.333,.500,1,4
Antoine Walker,2003,16,.333,.333,.667,2,4
Antoine Walker,2003,19,.438,.375,.400,0,1
Antoine Walker,2003,13,.357,.250,1.000,2,1
Antoine Walker,2003,23,.308,.000,.875,2,5
Antoine Walker,2003,21,.278,.250,.833,2,1
Antoine Walker,2003,16,.238,.125,.833,1,1
Antoine Walker,2003,9,.571,.500,,0,1
Antoine Walker,2003,33,.444,.444,.833,3,4
Antoine Walker,2003,31,.480,.636,,5,9
Antoine Walker,2003,17,.368,.250,1.000,1,4
Antoine Walker,2003,14,.333,.125,.500,2,5
Antoine Walker,2003,11,.286,.000,.600,1,3
Antoine Walker,2003,15,.350,.167,,0,4
Antoine Walker,2003,23,.409,.571,.500,3,0
Antoine Walker,2003,20,.348,.333,.250,0,4
Antoine Walker,2003,31,.722,.556,.000,1,2
Antoine Walker,2003,25,.476,.556,,2,1
Antoine Walker,2003,,,,,,
Antoine Walker,2003,33,.500,.545,.750,3,1
Antoine Walker,2003,,,,,,
Antoine Walker,2003,,,,,,
Antoine Walker,2003,,,,,,
Antoine Walker,2003,,,,,,
Antoine Walker,2003,6,.067,.167,.500,0,2
Antoine Walker,2003,22,.450,.400,,0,3
Antoine Walker,2003,20,.333,.250,.500,0,3
Antoine Walker,2003,14,.353,.286,.000,1,2
Antoine Walker,2003,17,.350,.125,1.000,0,4
Antoine Walker,2003,19,.389,.444,.500,0,7
Antoine Walker,2003,26,.450,.400,.571,0,1
Antoine Walker,2003,16,.438,.250,,0,3
Antoine Walker,2003,17,.348,.167,,1,2
Antoine Walker,2003,15,.294,.125,.667,1,4
Antoine Walker,2003,22,.350,.375,.625,1,2
Antoine Walker,2003,18,.400,.286,,0,6
Antoine Walker,2003,22,.321,.000,.667,4,5
Antoine Walker,2003,38,.548,.286,.667,2,5
Antoine Walker,2003,17,.333,.167,,3,1
Antoine Walker,2003,,,,,,
Antoine Walker,2003,34,.484,.429,.333,1,3
Antoine Walker,2003,22,.364,.222,.667,3,6
Antoine Walker,2003,18,.400,.286,.000,2,3
Antoine Walker,2003,23,.409,.500,1.000,0,1
Antoine Walker,2003,10,.200,.000,.667,3,6
Antoine Walker,2003,17,.438,.125,.286,2,4
Antoine Walker,2003,14,.400,.250,.500,3,5
Antoine Walker,2003,18,.421,.333,,1,5
Antoine Walker,2003,25,.400,.444,.833,0,5
Antoine Walker,2003,21,.389,.333,.833,1,4
Antoine Walker,2003,20,.389,.444,.500,1,4
Antoine Walker,2003,12,.316,.000,,3,2
Antoine Walker,2003,13,.333,.375,.500,2,2
Antoine Walker,2003,18,.381,.250,,3,1
Antoine Walker,2003,11,.455,.250,.000,0,3
Antoine Walker,2003,15,.350,.167,.000,1,5
Antoine Walker,2003,7,.188,.000,.250,0,3
Antoine Walker,2003,24,.381,.500,.625,0,2
Antoine Walker,2003,12,.235,.333,1.000,3,4
Antoine Walker,2003,21,.471,.500,1.000,1,3
Antoine Walker,2003,,,,,,
Antoine Walker,2003,24,.471,.400,.800,1,1
Antoine Walker,2003,10,.250,.000,1.000,0,3
David Lee,2013,6,.125,,1.000,3,1
David Lee,2013,16,.615,,,0,4
David Lee,2013,8,.500,,,1,1
David Lee,2013,20,.462,,1.000,1,3
David Lee,2013,22,.625,,1.000,2,1
David Lee,2013,10,.300,,.667,1,4
David Lee,2013,18,.368,,.667,5,2
David Lee,2013,18,.471,.000,.667,4,5
David Lee,2013,18,.533,,.667,6,1
David Lee,2013,19,.500,,1.000,2,2
David Lee,2013,17,.412,,.500,4,3
David Lee,2013,20,.667,,,4,4
David Lee,2013,21,.474,,.750,1,2
David Lee,2013,17,.500,,.750,3,2
David Lee,2013,31,.867,,.714,4,4
David Lee,2013,13,.333,,1.000,4,2
David Lee,2013,22,.563,,.667,1,3
David Lee,2013,20,.583,,.750,2,4
David Lee,2013,30,.636,,.500,7,2
David Lee,2013,24,.500,,1.000,3,4
David Lee,2013,,,,,,
David Lee,2013,25,.714,,1.000,5,3
David Lee,2013,22,.500,,1.000,6,2
David Lee,2013,24,.550,,1.000,4,3
David Lee,2013,20,.714,,,2,3
David Lee,2013,26,.625,,.857,3,2
David Lee,2013,29,.706,,.833,4,2
David Lee,2013,23,.688,,1.000,6,2
David Lee,2013,20,.500,,1.000,2,2
David Lee,2013,18,.438,.000,1.000,3,0
David Lee,2013,25,.474,,.778,1,4
David Lee,2013,20,.667,,,0,3
David Lee,2013,24,.563,,1.000,3,2
David Lee,2013,10,.300,,1.000,2,4
David Lee,2013,14,.429,,.333,1,4
David Lee,2013,24,.550,,.500,1,1
David Lee,2013,23,.611,,.500,3,4
David Lee,2013,12,.308,.000,1.000,1,3
David Lee,2013,22,.500,,.667,2,2
David Lee,2013,,,,,,
David Lee,2013,12,.313,,1.000,2,5
David Lee,2013,,,,,,
David Lee,2013,22,.500,,.800,4,3
David Lee,2013,23,.400,,.917,2,2
David Lee,2013,12,.333,,,2,2
David Lee,2013,21,.588,,.500,2,3
David Lee,2013,20,.667,,1.000,2,1
David Lee,2013,15,.462,,.600,7,2
David Lee,2013,16,.375,,.800,4,5
David Lee,2013,18,.800,,1.000,4,2
David Lee,2013,12,.385,,.500,5,4
David Lee,2013,26,.625,,1.000,2,2
David Lee,2013,10,.444,,1.000,0,3
David Lee,2013,12,.300,,.750,2,2
David Lee,2013,18,.692,,,2,0
David Lee,2013,19,.538,,.833,2,4
David Lee,2013,25,.500,,.833,5,3
David Lee,2013,22,.533,,1.000,5,5
David Lee,2013,12,.417,,.500,2,5
David Lee,2013,,,,,,
David Lee,2013,10,.308,,.500,5,0
David Lee,2013,13,.429,,.500,5,3
David Lee,2013,,,,,,
David Lee,2013,29,.571,,1.000,2,2
David Lee,2013,17,.571,,1.000,0,2
David Lee,2013,16,.583,,1.000,2,3
David Lee,2013,,,,,,
David Lee,2013,21,.467,,.875,3,4
David Lee,2013,20,.692,,.400,4,1
David Lee,2013,15,.583,,.500,2,2
David Lee,2013,10,.308,,.667,1,2
David Lee,2013,20,.778,,1.000,4,3
David Lee,2013,10,.235,,1.000,4,2
David Lee,2013,11,.444,,.750,2,3
David Lee,2013,23,.600,,1.000,3,4
David Lee,2013,20,.769,,,0,6
David Lee,2013,13,.417,,.750,2,1
David Lee,2013,23,.600,,.833,3,3
David Lee,2013,22,.556,,1.000,4,1
David Lee,2013,21,.471,,.714,2,2
David Lee,2013,15,.500,.000,.750,3,4
David Lee,2013,13,.462,,1.000,2,3
David Lee,2013,19,.667,,.750,2,0
David Lee,2013,,,,,,
David Lee,2013,12,.500,,.500,2,2
David Lee,2013,20,.750,,.667,0,1
Eddie Jones,2000,24,.364,.500,.857,2,3
Eddie Jones,2000,22,.389,.400,1.000,1,1
Eddie Jones,2000,8,.286,.000,1.000,1,3
Eddie Jones,2000,26,.600,.667,.667,2,1
Eddie Jones,2000,33,.667,.429,.857,1,3
Eddie Jones,2000,24,.500,.500,1.000,0,4
Eddie Jones,2000,12,.333,.000,1.000,0,1
Eddie Jones,2000,20,.389,.500,.800,2,2
Eddie Jones,2000,24,.538,.500,1.000,0,2
Eddie Jones,2000,30,.647,.714,1.000,3,3
Eddie Jones,2000,22,.529,.600,.500,2,3
Eddie Jones,2000,14,.267,.000,1.000,0,2
Eddie Jones,2000,12,.333,.333,1.000,0,2
Eddie Jones,2000,22,.304,.111,1.000,2,4
Eddie Jones,2000,15,.357,.400,.600,2,2
Eddie Jones,2000,4,.154,.000,,0,5
Eddie Jones,2000,13,.313,.333,1.000,2,0
Eddie Jones,2000,30,.556,.667,.800,1,3
Eddie Jones,2000,13,.300,.333,.857,0,6
Eddie Jones,2000,15,.375,.500,.667,0,0
Eddie Jones,2000,,,,,,
Eddie Jones,2000,19,.750,.750,1.000,0,2
Eddie Jones,2000,17,.357,.000,.875,1,2
Eddie Jones,2000,24,.471,.333,.750,4,3
Eddie Jones,2000,23,.467,.500,.875,0,2
Eddie Jones,2000,,,,,,
Eddie Jones,2000,,,,,,
Eddie Jones,2000,,,,,,
Eddie Jones,2000,,,,,,
Eddie Jones,2000,23,.389,.429,.857,1,2
Eddie Jones,2000,25,.538,.333,.714,0,3
Eddie Jones,2000,26,.500,.200,.692,2,4
Eddie Jones,2000,23,.278,.200,.923,0,2
Eddie Jones,2000,18,.400,.250,.714,1,1
Eddie Jones,2000,11,.278,.250,,1,2
Eddie Jones,2000,25,.526,.500,.667,3,4
Eddie Jones,2000,20,.471,.200,.750,1,1
Eddie Jones,2000,20,.318,.667,1.000,3,2
Eddie Jones,2000,21,.333,.143,.750,2,3
Eddie Jones,2000,20,.500,.000,.750,1,0
Eddie Jones,2000,34,.650,.714,.750,1,2
Eddie Jones,2000,,,,,,
Eddie Jones,2000,32,.632,.750,1.000,0,3
Eddie Jones,2000,27,.400,.500,1.000,1,3
Eddie Jones,2000,18,.300,.000,1.000,2,2
Eddie Jones,2000,16,.600,.750,.500,2,0
Eddie Jones,2000,18,.389,.750,1.000,1,3
Eddie Jones,2000,9,.231,.000,.750,0,2
Eddie Jones,2000,17,.333,.333,1.000,2,1
Eddie Jones,2000,23,.556,.500,,2,3
Eddie Jones,2000,23,.391,.250,1.000,3,1
Eddie Jones,2000,17,.308,.500,.875,1,3
Eddie Jones,2000,17,.333,.000,1.000,1,0
Eddie Jones,2000,31,.458,.500,.875,2,4
Eddie Jones,2000,23,.400,.167,.833,0,1
Eddie Jones,2000,19,.286,.286,.833,1,1
Eddie Jones,2000,14,.625,.667,.667,1,4
Eddie Jones,2000,21,.353,.000,.818,1,1
Eddie Jones,2000,18,.455,.333,.875,0,7
Eddie Jones,2000,9,.300,.000,1.000,1,2
Eddie Jones,2000,14,.357,.333,1.000,2,2
Eddie Jones,2000,28,.500,.333,.667,0,6
Eddie Jones,2000,,,,,,
Eddie Jones,2000,26,.474,.667,.800,1,1
Eddie Jones,2000,25,.467,.667,1.000,2,1
Eddie Jones,2000,24,.625,.500,1.000,2,3
Eddie Jones,2000,9,.300,.200,1.000,0,1
Eddie Jones,2000,32,.611,.571,.857,0,2
Eddie Jones,2000,23,.389,.429,1.000,2,1
Eddie Jones,2000,25,.700,.500,.900,0,2
Eddie Jones,2000,12,.133,.000,.889,1,2
Eddie Jones,2000,6,.250,.250,.500,1,2
Eddie Jones,2000,19,.294,.000,.900,3,1
Eddie Jones,2000,26,.600,1.000,1.000,1,2
Eddie Jones,2000,9,.273,.250,1.000,1,1
Eddie Jones,2000,29,.611,.583,,1,1
Eddie Jones,2000,25,.643,.667,1.000,0,3
Eddie Jones,2000,16,.375,.250,1.000,1,1
Eddie Jones,2000,14,.375,.000,1.000,0,2
Isaiah Thomas,2017,25,.500,.286,1.000,0,3
Isaiah Thomas,2017,25,.667,.429,.333,0,5
Isaiah Thomas,2017,24,.450,.286,.571,0,2
Isaiah Thomas,2017,23,.444,.571,.750,1,3
Isaiah Thomas,2017,30,.421,.000,1.000,0,3
Isaiah Thomas,2017,30,.529,.250,.917,0,4
Isaiah Thomas,2017,23,.333,.167,1.000,3,3
Isaiah Thomas,2017,29,.529,.600,1.000,2,2
Isaiah Thomas,2017,23,.308,.500,.933,0,2
Isaiah Thomas,2017,37,.448,.300,.800,0,1
Isaiah Thomas,2017,30,.389,.600,.813,2,5
Isaiah Thomas,2017,18,.333,.167,1.000,0,1
Isaiah Thomas,2017,24,.318,.250,.889,1,0
Isaiah Thomas,2017,29,.450,.222,.900,0,1
Isaiah Thomas,2017,23,.381,.556,1.000,0,2
Isaiah Thomas,2017,24,.429,.333,.750,0,2
Isaiah Thomas,2017,25,.304,.200,1.000,0,1
Isaiah Thomas,2017,27,.500,.429,1.000,0,2
Isaiah Thomas,2017,20,.286,.000,.889,1,1
Isaiah Thomas,2017,37,.579,.667,.867,1,2
Isaiah Thomas,2017,,,,,,
Isaiah Thomas,2017,20,.368,.429,1.000,0,2
Isaiah Thomas,2017,,,,,,
Isaiah Thomas,2017,,,,,,
Isaiah Thomas,2017,,,,,,
Isaiah Thomas,2017,,,,,,
Isaiah Thomas,2017,26,.450,.333,.857,1,2
Isaiah Thomas,2017,23,.563,.500,1.000,1,2
Isaiah Thomas,2017,44,.625,.700,1.000,0,1
Isaiah Thomas,2017,28,.429,.182,.889,0,0
Isaiah Thomas,2017,34,.545,.250,.889,0,5
Isaiah Thomas,2017,27,.391,.231,.750,0,2
Isaiah Thomas,2017,21,.429,.167,1.000,0,4
Isaiah Thomas,2017,31,.615,.400,1.000,1,3
Isaiah Thomas,2017,52,.577,.692,1.000,1,2
Isaiah Thomas,2017,29,.556,.625,1.000,0,1
Isaiah Thomas,2017,24,.429,.500,.909,1,7
Isaiah Thomas,2017,38,.542,.545,1.000,1,1
Isaiah Thomas,2017,27,.421,.375,.889,0,1
Isaiah Thomas,2017,38,.483,.455,.833,3,4
Isaiah Thomas,2017,28,.429,.385,1.000,1,5
Isaiah Thomas,2017,,,,,,
Isaiah Thomas,2017,35,.560,.467,,1,3
Isaiah Thomas,2017,39,.480,.417,1.000,2,2
Isaiah Thomas,2017,41,.500,.364,.818,1,6
Isaiah Thomas,2017,25,.368,.167,.909,0,3
Isaiah Thomas,2017,38,.556,.400,1.000,3,3
Isaiah Thomas,2017,21,.600,.375,,0,2
Isaiah Thomas,2017,37,.524,.545,1.000,0,3
Isaiah Thomas,2017,41,.478,.364,1.000,0,3
Isaiah Thomas,2017,44,.545,.417,.938,0,3
Isaiah Thomas,2017,38,.542,.455,1.000,0,6
Isaiah Thomas,2017,28,.389,.273,.917,0,3
Isaiah Thomas,2017,26,.375,.364,1.000,0,3
Isaiah Thomas,2017,34,.423,.182,.909,0,2
Isaiah Thomas,2017,29,.563,.571,.778,0,3
Isaiah Thomas,2017,29,.474,.400,.778,0,1
Isaiah Thomas,2017,33,.474,.571,.846,1,4
Isaiah Thomas,2017,29,.444,.444,1.000,0,3
Isaiah Thomas,2017,20,.353,.300,.833,1,3
Isaiah Thomas,2017,33,.435,.417,.889,0,2
Isaiah Thomas,2017,19,.190,.167,1.000,2,7
Isaiah Thomas,2017,,,,,,
Isaiah Thomas,2017,31,.500,.333,.667,1,4
Isaiah Thomas,2017,18,.462,.200,1.000,0,2
Isaiah Thomas,2017,35,.400,.417,.909,0,1
Isaiah Thomas,2017,32,.526,.500,.889,0,3
Isaiah Thomas,2017,25,.350,.400,1.000,0,3
Isaiah Thomas,2017,21,.500,.167,1.000,0,2
Isaiah Thomas,2017,22,.643,.500,,0,2
Isaiah Thomas,2017,27,.533,.444,1.000,0,2
Isaiah Thomas,2017,,,,,,
Isaiah Thomas,2017,,,,,,
Isaiah Thomas,2017,25,.368,.200,.818,1,3
Isaiah Thomas,2017,25,.429,.400,1.000,0,2
Isaiah Thomas,2017,34,.500,.333,1.000,1,2
Isaiah Thomas,2017,30,.556,.333,.889,0,6
Isaiah Thomas,2017,32,.529,.556,1.000,1,4
Isaiah Thomas,2017,35,.435,.400,.846,1,3
Isaiah Thomas,2017,19,.545,.444,1.000,0,1
Isaiah Thomas,2017,26,.474,.125,.875,0,4
Isaiah Thomas,2017,35,.476,.500,.846,3,3
Isaiah Thomas,2017,32,.556,.455,.875,0,6
Isaiah Thomas,2017,,,,,,
Isaiah Thomas,2017,27,.476,.200,1.000,1,4
Isaiah Thomas,2017,13,.273,.333,.833,2,1
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,7,.214,.000,.500,2,2
Jaren Jackson Jr.,2023,25,.438,.500,.727,5,2
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,22,.571,.200,.714,0,0
Jaren Jackson Jr.,2023,20,.857,.667,.857,0,1
Jaren Jackson Jr.,2023,21,.421,.375,1.000,2,0
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,16,.500,.250,.833,4,4
Jaren Jackson Jr.,2023,22,.583,.400,.857,3,3
Jaren Jackson Jr.,2023,22,.538,.500,.857,3,2
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,12,.556,.500,,0,1
Jaren Jackson Jr.,2023,20,.667,.600,.250,1,2
Jaren Jackson Jr.,2023,15,.545,.250,1.000,0,2
Jaren Jackson Jr.,2023,4,.500,1.000,.500,1,0
Jaren Jackson Jr.,2023,16,.375,.333,.800,3,1
Jaren Jackson Jr.,2023,8,.500,.333,.500,0,1
Jaren Jackson Jr.,2023,24,.529,.250,.833,3,0
Jaren Jackson Jr.,2023,11,.714,.500,,1,1
Jaren Jackson Jr.,2023,6,.167,.000,1.000,4,3
Jaren Jackson Jr.,2023,15,.467,.333,,3,2
Jaren Jackson Jr.,2023,17,.538,.250,1.000,2,4
Jaren Jackson Jr.,2023,14,.455,.500,.667,2,0
Jaren Jackson Jr.,2023,17,.600,.333,.800,1,1
Jaren Jackson Jr.,2023,31,.857,.667,.714,2,2
Jaren Jackson Jr.,2023,19,.471,.400,.500,3,2
Jaren Jackson Jr.,2023,16,.500,.500,.667,2,2
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,21,.600,.500,.889,2,0
Jaren Jackson Jr.,2023,9,.800,1.000,,0,2
Jaren Jackson Jr.,2023,18,.455,.250,.875,2,1
Jaren Jackson Jr.,2023,15,.385,.333,.750,2,0
Jaren Jackson Jr.,2023,12,.375,.250,.833,1,3
Jaren Jackson Jr.,2023,8,.500,.667,,1,4
Jaren Jackson Jr.,2023,19,.389,.500,1.000,2,1
Jaren Jackson Jr.,2023,17,.364,.667,.875,3,1
Jaren Jackson Jr.,2023,14,.294,.000,.800,3,2
Jaren Jackson Jr.,2023,28,.632,.375,.500,2,1
Jaren Jackson Jr.,2023,18,.643,.000,,0,0
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,18,.412,.000,.571,1,3
Jaren Jackson Jr.,2023,24,.692,.400,.800,0,1
Jaren Jackson Jr.,2023,15,.462,.200,1.000,0,2
Jaren Jackson Jr.,2023,15,.667,1.000,.500,1,3
Jaren Jackson Jr.,2023,26,.421,.400,.857,2,1
Jaren Jackson Jr.,2023,18,.313,.143,1.000,2,0
Jaren Jackson Jr.,2023,7,.286,.333,1.000,0,2
Jaren Jackson Jr.,2023,16,.500,.250,1.000,3,2
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,17,.500,.286,1.000,1,1
Jaren Jackson Jr.,2023,15,.462,.000,.600,1,1
Jaren Jackson Jr.,2023,24,.444,.400,.857,1,2
Jaren Jackson Jr.,2023,26,.533,.333,.727,0,0
Jaren Jackson Jr.,2023,21,.462,.750,.857,2,2
Jaren Jackson Jr.,2023,14,.250,.000,.889,1,1
Jaren Jackson Jr.,2023,7,.250,.250,1.000,0,3
Jaren Jackson Jr.,2023,25,.667,.571,.333,3,1
Jaren Jackson Jr.,2023,28,.600,.000,.571,3,5
Jaren Jackson Jr.,2023,31,.545,.333,.800,1,0
Jaren Jackson Jr.,2023,28,.625,.500,.700,3,0
Jaren Jackson Jr.,2023,37,.700,.200,.727,3,4
Jaren Jackson Jr.,2023,18,.385,.000,.889,1,2
Jaren Jackson Jr.,2023,15,.600,.500,1.000,1,4
Jaren Jackson Jr.,2023,16,.636,1.000,.000,2,3
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,9,.400,.000,.500,2,2
Jaren Jackson Jr.,2023,31,.550,.625,1.000,3,1
Jaren Jackson Jr.,2023,17,.556,.000,.778,0,2
Jaren Jackson Jr.,2023,40,.464,.333,.917,4,3
Jaren Jackson Jr.,2023,,,,,,
Jaren Jackson Jr.,2023,36,.667,.833,.875,2,3
Jaren Jackson Jr.,2023,,,,,,
Jaylen Brown,2023,35,.583,.333,1.000,0,4
Jaylen Brown,2023,28,.667,.667,1.000,1,3
